#TYPE Selected.System.Management.Automation.PSCustomObject
"Title";"Link"
"Conversation BRK2244 - Enable new scenarios for customer-facing applications and services in the Enterprise in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2244-Enable-new-scenarios-for-customer-facing-applications/m-p/9525#M75"
"Conversation BRK1032 - Meetup: Education Meetup for schools, colleges or those working in the sector in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1032-Meetup-Education-Meetup-for-schools-colleges-or-those/m-p/9526#M76"
"Conversation BRK2245 - Transform the way you manage Skype for Business in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2245-Transform-the-way-you-manage-Skype-for-Business/m-p/9527#M77"
"Conversation BRK3225 - Secure access to Office 365, SaaS, and on-premises apps and files with Azure AD and Intune in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3225-Secure-access-to-Office-365-SaaS-and-on-premises-apps/m-p/9529#M78"
"Conversation BRK2245 - Transform the way you manage Skype for Business in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2245-Transform-the-way-you-manage-Skype-for-Business/m-p/9530#M79"
"Conversation BRK1033 - Build your intranet with Office 365 (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1033-Build-your-intranet-with-Office-365-Microsoft-Ignite/m-p/9531#M80"
"Conversation BRK2246 - Discover awesome availability strategies for the Hybrid Cloud: Veeam and Microsoft in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2246-Discover-awesome-availability-strategies-for-the-Hybrid/m-p/9532#M81"
"Conversation BRK3226 - Build interactive data analysis environments using Apache Spark in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3226-Build-interactive-data-analysis-environments-using/m-p/9533#M82"
"Conversation BRK2247 - Watch us bring together the best new features a team needs to get the most out of modern in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2247-Watch-us-bring-together-the-best-new-features-a-team/m-p/9535#M83"
"Conversation BRK1034 - Meetup: Women in SharePoint/technology meetup (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1034-Meetup-Women-in-SharePoint-technology-meetup-Microsoft/m-p/9536#M84"
"Conversation BRK3227 - Ask us anything about Microsoft Office 365 Groups (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3227-Ask-us-anything-about-Microsoft-Office-365-Groups/m-p/9537#M85"
"Conversation BRK2248 - Extend the Microsoft RDS platform in Azure through Citrix solutions in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2248-Extend-the-Microsoft-RDS-platform-in-Azure-through/m-p/9538#M86"
"Conversation BRK1035 - Meetup: Learn how to start a user group in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1035-Meetup-Learn-how-to-start-a-user-group/m-p/9539#M87"
"Conversation BRK2249 - Bolster your integration practice by leveraging Azure API Management in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2249-Bolster-your-integration-practice-by-leveraging-Azure/m-p/9540#M88"
"Conversation BRK3228 - Protect your OneDrive and SharePoint files on mobile devices in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3228-Protect-your-OneDrive-and-SharePoint-files-on-mobile/m-p/9541#M89"
"Conversation BRK1036 - Build applications with Microsoft Azure Service Fabric on Windows and Linux in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1036-Build-applications-with-Microsoft-Azure-Service-Fabric/m-p/9542#M90"
"Conversation BRK2250 - Go serverless for the enterprise with Microsoft Azure Functions in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2250-Go-serverless-for-the-enterprise-with-Microsoft-Azure/m-p/9544#M91"
"Conversation BRK3229 - Cert Exam Prep: Exam 70-334: Core Solutions of Microsoft Skype for Business 2015 in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3229-Cert-Exam-Prep-Exam-70-334-Core-Solutions-of-Microsoft/m-p/9545#M92"
"Conversation BRK1037 - Win the IT security battle: automate password changes, privileged access &amp; Minimize... in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1037-Win-the-IT-security-battle-automate-password-changes/m-p/9546#M93"
"Conversation BRK2251 - Secure and deploy your mobile apps in Microsoft Azure in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2251-Secure-and-deploy-your-mobile-apps-in-Microsoft-Azure/m-p/9547#M94"
"Conversation BRK2252 - Understand Microsoft's Office 365 datacenter strategy and approach in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2252-Understand-Microsoft-s-Office-365-datacenter-strategy/m-p/9548#M95"
"Conversation BRK3231 - Develop an application availability ???threat model??? in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3231-Develop-an-application-availability-threat-model/m-p/9549#M96"
"Resource Not Found";"/gxcuf89792/rss/message"
"Conversation BRK2254 - Leverage Cortana Intelligence Suite to build your modern data warehouse in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2254-Leverage-Cortana-Intelligence-Suite-to-build-your-modern/m-p/9552#M98"
"Conversation BRK3232 - Favor the bold: deploying and managing rock-solid Microsoft Azure Security Solutions in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3232-Favor-the-bold-deploying-and-managing-rock-solid/m-p/9553#M99"
"Conversation BRK1040 - Create best-in-class customer experiences with digital transformation in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1040-Create-best-in-class-customer-experiences-with-digital/m-p/9554#M100"
"Conversation BRK2255 - Learn from MVPs: panel discussion on all things SharePoint in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2255-Learn-from-MVPs-panel-discussion-on-all-things/m-p/9555#M101"
"Conversation BRK3234 - Integrate a multiple CDN architecture into your applications in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3234-Integrate-a-multiple-CDN-architecture-into-your/m-p/9556#M102"
"Conversation BRK2001 - Get control over your datacenter with security monitoring using Operations Management... in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2001-Get-control-over-your-datacenter-with-security/m-p/9557#M103"
